,year,week,SMN,SMT,VCI,TCI,VHI,ind
0,1981,36,0.255,292.31,19.82,63.72,41.77,1
1,1981,37,0.258,291.88,30.21,51.66,40.93,1
2,1981,38,0.259,291.08,39.91,42.64,41.28,1
3,1981,39,0.256,289.75,47.88,37.6,42.74,1
4,1981,40,0.249,287.77,54.64,37.0,45.82,1
5,1981,41,0.23600000000000002,284.88,60.87,43.25,52.06,1
6,1981,42,0.21899999999999997,281.24,65.71,56.15,60.93,1
7,1981,43,0.19399999999999998,277.53,65.17,64.36,64.76,1
8,1981,44,0.161,273.3,58.33,66.2,62.27,1
9,1981,45,0.12300000000000001,269.05,45.64,65.89,55.77,1
10,1981,46,0.099,265.99,40.66,63.96,52.31,1
11,1981,47,0.086,264.01,41.53,61.45,51.49,1
12,1981,48,0.076,263.07,43.06,58.22,50.64,1
13,1981,49,0.068,262.06,41.78,56.29,49.04,1
14,1981,50,0.064,261.04,45.38,53.52,49.45,1
15,1981,51,0.059000000000000004,259.85,45.92,50.4,48.16,1
16,1981,52,0.054000000000000006,259.28,44.0,47.22,45.61,1
17,1982,1,0.053,260.31,45.01,39.46,42.23,1
18,1982,2,0.054000000000000006,262.29,46.83,31.75,39.29,1
19,1982,3,0.055,263.82,48.13,27.24,37.68,1
20,1982,4,0.053,265.33,46.09,23.91,35.0,1
21,1982,5,0.05,265.66,41.46,26.65,34.06,1
22,1982,6,0.048,266.55,36.56,29.46,33.01,1
23,1982,7,0.048,267.84,32.17,31.14,31.65,1
24,1982,8,0.05,269.3,30.3,32.5,31.4,1
25,1982,9,0.052000000000000005,270.75,28.23,35.22,31.73,1
26,1982,10,0.055999999999999994,272.73,25.25,37.63,31.44,1
27,1982,11,0.069,275.46,26.81,34.79,30.8,1
28,1982,12,0.085,278.05,27.87,35.91,31.89,1
29,1982,13,0.096,279.89,26.45,40.3,33.37,1
30,1982,14,0.109,281.55,22.93,45.47,34.2,1
31,1982,15,0.12,282.57,16.15,59.42,37.78,1
32,1982,16,0.145,284.04,13.92,73.7,43.81,1
33,1982,17,0.18,286.05,15.91,83.78,49.85,1
34,1982,18,0.23600000000000002,288.73,25.98,83.95,54.97,1
35,1982,19,0.292,291.42,34.53,77.2,55.86,1
36,1982,20,0.336,293.07,38.39,70.79,54.59,1
37,1982,21,0.366,293.62,38.62,71.8,55.21,1
38,1982,22,0.38299999999999995,293.55,34.9,75.39,55.14,1
39,1982,23,0.391,293.47,29.29,77.99,53.64,1
40,1982,24,0.395,293.51,27.5,80.68,54.09,1
41,1982,25,0.396,293.26,27.46,86.21,56.84,1
42,1982,26,0.395,293.16,27.71,89.14,58.43,1
43,1982,27,0.39399999999999996,293.5,29.53,88.81,59.17,1
44,1982,28,0.392,293.83,34.04,88.18,61.11,1
45,1982,29,0.39299999999999996,294.17,39.85,87.0,63.42,1
46,1982,30,0.38799999999999996,294.43,43.47,85.68,64.58,1
47,1982,31,0.38299999999999995,294.83,44.62,81.04,62.83,1
48,1982,32,0.37799999999999995,295.3,46.78,73.25,60.01,1
49,1982,33,0.374,295.43,50.98,66.04,58.51,1
50,1982,34,0.368,295.3,54.79,59.39,57.09,1
51,1982,35,0.36200000000000004,294.95,60.47,50.47,55.47,1
52,1982,36,0.35200000000000004,294.4,65.8,40.42,53.11,1
53,1982,37,0.332,293.49,67.37,32.84,50.1,1
54,1982,38,0.313,292.14,68.18,30.2,49.19,1
55,1982,39,0.287,290.29,64.53,31.4,47.97,1
56,1982,40,0.25,287.91,54.93,35.92,45.43,1
57,1982,41,0.21100000000000002,285.34,44.69,37.53,41.11,1
58,1982,42,0.174,282.92,36.32,36.38,36.35,1
59,1982,43,0.147,280.78,35.06,34.47,34.76,1
60,1982,44,0.126,279.06,35.39,22.51,28.95,1
61,1982,45,0.105,277.36,32.35,16.01,24.18,1
62,1982,46,0.08800000000000001,275.31,32.21,15.45,23.83,1
63,1982,47,0.07200000000000001,272.39,29.41,21.78,25.6,1
64,1982,48,0.061,269.21,28.24,31.16,29.7,1
65,1982,49,0.052000000000000005,266.27,25.02,38.86,31.94,1
66,1982,50,0.044000000000000004,263.47,22.98,43.6,33.29,1
67,1982,51,0.044000000000000004,261.27,28.58,44.64,36.61,1
68,1982,52,0.044000000000000004,260.47,31.78,42.52,37.15,1
69,1983,1,0.042,260.46,32.51,38.52,35.52,1
70,1983,2,0.040999999999999995,260.74,32.31,36.91,34.61,1
71,1983,3,0.042,260.68,34.9,37.82,36.36,1
72,1983,4,0.045,260.72,37.87,39.24,38.56,1
73,1983,5,0.045,260.77,37.32,42.44,39.88,1
74,1983,6,0.044000000000000004,260.43,32.86,49.14,41.0,1
75,1983,7,0.044000000000000004,261.08,29.76,53.18,41.47,1
76,1983,8,0.049,262.65,29.39,54.87,42.13,1
77,1983,9,0.055999999999999994,265.42,30.87,53.78,42.32,1
78,1983,10,0.068,269.12,32.35,50.97,41.66,1
79,1983,11,0.083,273.39,34.28,42.77,38.52,1
80,1983,12,0.102,277.45,37.17,38.0,37.59,1
81,1983,13,0.128,281.9,42.6,31.26,36.93,1
82,1983,14,0.154,285.72,45.99,24.17,35.08,1
83,1983,15,0.183,288.62,46.97,21.68,34.32,1
84,1983,16,0.213,290.59,46.18,25.21,35.7,1
85,1983,17,0.248,292.5,47.39,27.73,37.56,1
86,1983,18,0.285,294.01,49.4,32.15,40.77,1
87,1983,19,0.324,294.93,50.29,39.52,44.91,1
88,1983,20,0.354,295.61,48.31,43.63,45.97,1
89,1983,21,0.375,296.06,44.7,46.47,45.58,1
90,1983,22,0.39299999999999996,296.21,41.82,49.3,45.56,1
91,1983,23,0.402,295.89,37.5,54.92,46.21,1
92,1983,24,0.39799999999999996,295.37,30.08,62.73,46.41,1
93,1983,25,0.395,295.55,27.35,63.44,45.4,1
94,1983,26,0.392,295.83,26.21,61.74,43.97,1
95,1983,27,0.384,295.84,24.03,63.71,43.87,1
96,1983,28,0.366,295.71,19.88,67.51,43.7,1
97,1983,29,0.345,295.61,14.97,71.1,43.03,1
98,1983,30,0.324,295.46,12.14,74.52,43.33,1
99,1983,31,0.317,295.23,13.27,76.96,45.11,1
100,1983,32,0.32,295.15,18.15,75.06,46.6,1
101,1983,33,0.322,295.03,24.55,70.56,47.56,1
102,1983,34,0.32299999999999995,294.99,31.25,63.13,47.19,1
103,1983,35,0.327,295.09,42.25,48.99,45.62,1
104,1983,36,0.319,294.35,48.6,40.95,44.78,1
105,1983,37,0.302,293.3,51.48,35.49,43.49,1
106,1983,38,0.285,292.03,52.88,31.98,42.43,1
107,1983,39,0.264,290.0,52.2,35.99,44.1,1
108,1983,40,0.24600000000000002,287.88,52.61,37.45,45.03,1
109,1983,41,0.223,285.68,51.99,34.42,43.21,1
110,1983,42,0.198,283.12,51.57,35.55,43.56,1
111,1983,43,0.171,280.43,50.1,39.02,44.56,1
112,1983,44,0.146,277.34,48.14,37.49,42.81,1
113,1983,45,0.124,274.36,45.55,36.55,41.05,1
114,1983,46,0.10300000000000001,271.95,42.99,35.13,39.06,1
115,1983,47,0.087,269.05,42.57,39.45,41.01,1
116,1983,48,0.081,267.1,46.31,41.52,43.91,1
117,1983,49,0.07200000000000001,265.72,45.1,41.4,43.25,1
118,1983,50,0.065,264.23,45.56,40.56,43.06,1
119,1983,51,0.057999999999999996,261.83,44.21,42.68,43.44,1
120,1983,52,0.052000000000000005,259.1,41.31,47.96,44.63,1
121,1984,1,0.05,257.42,40.77,49.92,45.35,1
122,1984,2,0.047,256.74,39.32,52.12,45.72,1
123,1984,3,0.044000000000000004,255.68,37.37,57.52,47.44,1
124,1984,4,0.040999999999999995,255.47,34.55,59.96,47.25,1
125,1984,5,0.039,256.11,31.21,60.19,45.7,1
126,1984,6,0.037000000000000005,256.96,27.71,62.24,44.98,1
127,1984,7,0.037000000000000005,257.88,24.61,64.98,44.79,1
128,1984,8,0.039,258.11,22.89,71.12,47.0,1
129,1984,9,0.040999999999999995,260.37,22.16,71.96,47.06,1
130,1984,10,0.047,264.02,20.48,70.03,45.26,1
131,1984,11,0.057,268.33,20.45,62.93,41.69,1
132,1984,12,0.07400000000000001,273.36,22.3,54.75,38.52,1
133,1984,13,0.094,278.76,24.99,45.15,35.07,1
134,1984,14,0.11900000000000001,283.72,27.85,34.54,31.19,1
135,1984,15,0.149,287.22,29.68,30.8,30.24,1
136,1984,16,0.177,289.08,28.91,37.09,33.0,1
137,1984,17,0.20800000000000002,290.91,28.76,42.4,35.58,1
138,1984,18,0.24600000000000002,292.34,30.62,49.05,39.84,1
139,1984,19,0.29,293.17,33.37,58.5,45.94,1
140,1984,20,0.33,293.46,35.18,66.14,50.66,1
141,1984,21,0.36200000000000004,293.35,35.93,73.96,54.94,1
142,1984,22,0.384,293.09,34.85,79.34,57.09,1
143,1984,23,0.39899999999999997,292.66,34.85,85.04,59.94,1
144,1984,24,0.413,292.52,38.86,89.15,64.01,1
145,1984,25,0.423,292.82,44.4,89.9,67.15,1
146,1984,26,0.428,292.97,47.19,90.66,68.92,1
147,1984,27,0.428,293.36,49.22,90.06,69.64,1
